objectid,title,alternatetitle,category,externalurl,institution,access,sourcelist,tags,description,sau,lastmodified
44,"Sidney Gamble photographs, 1906-2007",,Images,https://repository.duke.edu/dc/gamble,Duke University,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Economy,Historical archive,Art and Architecture,Local history","Sidney D. Gamble Photographs Collection (1906-2007) at Duke University contains over 5,500 photographs, over 20 films, and other moving images documenting China from 1908 to 1932, housed in the David M. Rubenstein Rare Book & Manuscript Library as part of the Archive of Documentary Arts. Sidney D. Gamble (1890-1968), a trained sociologist and amateur photographer, made four trips to China (1908, 1917-1919, 1924-1927, 1931-1932) — totaling approximately nine years in China — to conduct socioeconomic surveys while working as secretary for the Beijing YMCA. The collection includes contact sheets, hand-colored glass slides, 35mm duplicate slides, contact prints, negatives, and moving images (filmed 1926-1933) depicting urban and rural life, economic conditions, public events, agriculture, religious statuary, architecture, and the countryside. Also included are artifacts, scrapbooks, personal papers, and records of the Sidney D. Gamble Foundation for China Studies documenting exhibitions in the US and China (1980s-2000s). Additional images from Japan, Korea, and the western United States (circa 1906) are also included. As of 2019, many works entered public domain.",8,5/13/2026 9:36pm
45,Hedda Morrison Photographs of China,,Images,https://curiosity.lib.harvard.edu/hedda-morrison-photographs-of-china,Harvard University,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Art and Architecture,Local history","Hedda Morrison Photographs of China is a collection of 8,579 photographs and related materials held by Harvard-Yenching Library, Harvard University, documenting China from 1933 to 1946. Hedda Morrison (1908-1991), a German-born photographer based in Beijing, captured daily life, architecture, landscapes, religious sites, cultural practices, and social conditions across the Republican era and early wartime period. The collection spans urban and rural scenes across multiple regions and is accessible through Harvard's CURIOSity Digital Exhibits platform, with materials organized by creator, date, genre, and subject.",8,5/13/2026 9:36pm
46,East Asia Image Collection,,Images,https://dss.lafayette.edu/collections/east-asia-image-collection/,Lafayette College,open access,ACLS Open Database Resource Guide,"Manchuria,Military,Colonialism,Late Imperial (1368–1912),Republican era (1912–1949)","East Asia Image Collection (EAIC) at Lafayette College documents the history of imperial Japan (1868-1945), its Asian empire (1895-1945), and occupied Japan (1947-1952). The collection includes images from Taiwan (台湾), Japan (日本), China (中国), Korea (朝鮮/조선), Manchuria (満洲国/Manchukuo), and Indonesia. The EAIC provides visual documentation of Japanese imperialism, colonialism, and the aftermath of World War II, including the American occupation period. Images cover military activities, colonial administration, urban development, cultural life, and everyday scenes from territories under Japanese control or influence. Materials include photographs, postcards, propaganda images, and other visual media that document both official narratives and lived experiences across the Japanese empire.",7,5/17/2026 12:20am
47,Historical Photographs of China,,Images,https://hpcbristol.net/,University of Bristol,open access,ACLS Open Database Resource Guide,"Missionaries,Colonialism,Late Imperial (1368–1912),Republican era (1912–1949)","Historical Photographs of China (HPC) is a free online database hosted by the University of Bristol containing over 21,000 images from 98 collections, primarily held in the UK, Europe, and private hands outside China. The resource was produced by a 2006–2021 project based in the Department of History at the University of Bristol that located, digitized, archived, and published photographs of modern China spanning the late 19th and early-to-mid 20th centuries. The collection covers urban and rural life, architecture, landscapes, cultural practices, political events, foreign settlements, and missionary activities, with each collection accompanied by detailed introductions and keyword tagging. The site remains accessible and actively maintained despite the original project's conclusion.",7,5/13/2026 9:36pm
48,China Biographical Database Project (CBDB),中國歷代人物傳記資料庫,Biographical Data,https://cbdb.hsites.harvard.edu/,"Harvard University, Academia Sinica, Peking University",open access,ACLS Open Database Resource Guide,"Middle Period (220–1368),Late Imperial (1368–1912),Biography,Digital humanities","China Biographical Database Project (CBDB / 中國歷代人物傳記資料庫) is a freely accessible relational database containing biographical information about approximately 649,533 individuals as of May 2025, primarily from the 7th through 19th centuries (Tang through Qing dynasties). Developed collaboratively by Harvard University, Academia Sinica, and Peking University, CBDB is one of the largest and most comprehensive prosopographical databases for pre-modern China. The database includes information on kinship relations, social connections, office-holding, examination degrees, literary works, and geographical locations associated with historical figures. CBDB enables researchers to conduct network analysis, study elite circulation, trace intellectual lineages, examine social mobility, and analyze patterns of political power across Chinese dynastic history. Data can be accessed through web interface or downloaded in Access and SQLite formats for offline analysis.",9,5/13/2026 9:36pm
49,Modern China Biographical Database,,Biographical Data,https://heurist.huma-num.fr/ModernChinaBiographicalDatabase/web/109237,ENP-China (Aix-Marseille University),open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Missionaries,Biography,Digital humanities","Modern China Biographical Database (MCBD) is a freely accessible relational database recording historical actors active in China during the Late Qing and Republican periods (1830-1949), regardless of origin, nationality, or duration of presence. MCBD currently holds data on over 75,000 individuals, 20,000 positions, 6,000 curricula/degrees, 10,000 institutions, and 14,000 companies. A distinctive feature is presenting individuals under all forms their names took, including Chinese characters and various Western-language transliterations, addressing the complex challenge of name standardization across linguistic boundaries. The database captures the diverse actors who shaped modern China's transformation—Chinese and foreign officials, educators, missionaries, businesspeople, journalists, intellectuals, and revolutionaries. The database is built on the Heurist platform (huma-num.fr) and designed for both individual queries and large-scale prosopographical analysis of institutional development, elite networks, educational systems, commercial enterprises, and transnational connections.",7,5/17/2026 12:20am
50,Biographical Dictionary of Occupied China,Dictionnaire biographique de la Chine occupée,Biographical Data,https://bdoc.enpchina.eu/,ENP-China (Aix-Marseille University),open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Military,Biography,Colonialism,Digital humanities","Biographical Dictionary of Occupied China (BDOC / Dictionnaire Biographique de la Chine Occupée) addresses a significant gap in scholarship on the Japanese occupation of China (1937-1945). Remarkably, no dedicated biographical dictionary on this subject exists in Chinese, Japanese, or Western languages. BDOC elucidates the structure of the Japanese occupation state through biographical pathways of key figures including Japanese officials, Chinese collaborators, resistance leaders, and other historical actors. Each entry provides internal cross-references and hyperlinks to external resources including the Biographical Dictionary of the International Labor Movement (""Maitron""), Biographical Dictionary of Republican China (""Boorman""), and Historical Dictionary of Japan. The bilingual (French/English) database examines the complex web of actors involved in occupation governance, collaboration, resistance, and wartime society.",5,5/17/2026 12:20am
51,Treasury of Lives,,Biographical Data,https://treasuryoflives.org/,Treasury of Lives,open access,ACLS Open Database Resource Guide,"Tibet,Inner Asia,Buddhism,Biography,Philosophy,Religion","Treasury of Lives is a comprehensive biographical encyclopedia of Tibet, Inner Asia, and the Himalayan region, in continuous development since 2007. The open-access platform provides accessible, well-researched biographies of notable deceased individuals native to the region, including religious teachers, political leaders, scholars, artists, and other significant figures primarily from Tibetan Buddhist traditions. Most biographical essays are peer-reviewed, ensuring scholarly rigor. Content is enhanced by a dynamic interactive map showing geographic connections and movements of historical figures, genealogical information, and links between individuals. The database covers figures from ancient times to the modern era, with particular strength in documenting the religious and intellectual history of Tibetan Buddhism across the Tibetan plateau, Mongolia, Bhutan, Nepal, and other Himalayan regions.",8,5/17/2026 12:20am
52,Xinjiang Documentation Project,,Political Documents (Contemporary),https://xinjiang.sppga.ubc.ca,"University of British Columbia, Simon Fraser University",open access,ACLS Open Database Resource Guide,"Xinjiang,Contemporary (post-1978),Gender,Oral history,Law and Government,Ethnic minorities","The Xinjiang Documentation Project is a multi-disciplinary research initiative based at the Institute for Asian Research in the School of Public Policy and Global Affairs at the University of British Columbia and the Gender, Sexuality, and Women’s Studies Department at Simon Fraser University. The project collects, preserves, assesses, and makes available documentary information on the extrajudicial detention of Uyghurs, Kazakhs, and other ethnic minorities in Xinjiang Uyghur Autonomous Region, northwestern China. Its scope includes making key primary documents available, assessing their reliability, presenting material for general audiences, amplifying the lived experiences of detained individuals, providing regular updates on the ongoing situation in the region, and organizing periodic speaker series.",8,5/17/2026 12:20am
53,PRC State Council Archive (EN),,Political Documents (Contemporary),https://english.www.gov.cn/archive/,"State Council, People's Republic of China",open access,ACLS Open Database Resource Guide,"Contemporary (post-1978),Translation,Law and Government,Full-text","PRC State Council Archive (EN) is the English-language portal of the Chinese government's official document archive, providing free access to White Papers, policy documents, and ministry statements in English translation. Materials represent the government's official narrative and policy framework, providing insight into how China presents its governance, development achievements, and policy priorities to international audiences. The archive is regularly updated with new documents as they are released.",7,5/17/2026 12:20am
54,Xi Jinping Speeches Database,习近平系列重要讲话数据库,Political Documents (Contemporary),https://jhsjk.people.cn/,People's Daily,open access,ACLS Open Database Resource Guide,"Global China,Contemporary (post-1978),Economy,International relations,Law and Government,Full-text","Xi Jinping Speeches Database (习近平系列重要讲话数据库) is a comprehensive free resource provided by People's Daily (人民日报), the state-owned official newspaper of the Communist Party of China. The database systematically collects and organizes Xi Jinping's speeches, writings, books, articles, policy documents, news reports, and related white papers. Materials are available in both Chinese and English. The database covers Xi's major speeches on topics including China's development path (""Chinese Dream""), economic reform, anti-corruption campaigns, environmental protection (""ecological civilization""), foreign policy (""Belt and Road Initiative"", ""community of shared future for mankind""), military modernization, Party governance, ideological work, and national rejuvenation. Content spans Xi's tenure from becoming General Secretary in 2012 through the present, documenting the evolution of ""Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era"" (formally enshrined in Party Constitution in 2017).",8,5/17/2026 12:20am
55,Party History Ebook Archive,,Political Documents (Contemporary),https://ebook.dswxyjy.org.cn,Party History and Literature Research Institute (CPC Central Committee),open access,,"Republican era (1912–1949),Early PRC (1949–1966),Cultural Revolution (1966–1976),Contemporary (post-1978),Full-text,Law and Government","Provided by the Party History and Literature Research Institute of the CPC Central Committee (中共中央党史和文献研究院), this database gives access to collected works and selected speeches of Party leaders from Marx and Engels through Xi Jinping, important Party and government document series including 建党以来重要文献选编 and 建国以来重要文献选编, major research outputs in Party history, and classical Marxist texts in Chinese translation. The platform also hosts annals and biographies of major leaders (Mao Zedong, Zhou Enlai, Deng Xiaoping, and others) and the 100-year chronology of major CCP events. It serves as the authoritative repository for official CCP historical and ideological texts, providing essential access to primary sources for researchers studying PRC political history and party ideology.",7,5/17/2026 12:20am
56,National Library of China e-resources,中国国家图书馆数字资源,Classical Texts,https://www.nlc.cn/pcab/zy/zhgj_zyk/,National Library of China,open access,ACLS Open Database Resource Guide,"Dunhuang,Middle Period (220–1368),Late Imperial (1368–1912),Buddhism,Art and Architecture,Medicine,Full-text,Genealogy,Early China (before 220 CE),Local history","National Library of China e-resources (中国国家图书馆数字资源) provides free public access to 21 specialized databases through the China Ancient Books Protection Network (中国古籍保护网). Databases include: Digital Rare Books (数字古籍) with works dating to Song-Yuan-Ming-Qing dynasties; Digital Gazetteers (数字方志) covering local histories nationwide; China Genealogical Database (中华寻根网) with bibliographic information on nearly 30,000 family histories (家谱) and reading access to more than 2,000, plus over 6,000 gazetteers linked into the system; Zhaocheng Jin Tripitaka (赵城金藏) — rare Buddhist canon; Chinese New Year Prints (年画汀英); Rubbings Database (碑帖精华) supporting full-text searching of transcribed rubbings, with particular depth for the Tang and Qing periods; Collected Works of Song Dynasty Authors (宋人文集, focusing on first editions); Oracle Bones Database (甲骨世界); Tangut Texts (西夏文献) and Tangut Studies Bibliography (西夏论著); Historic Photographs (前尘旧影); Huizhou Genealogies (徽州善本家谱); Classical Chinese Medicine Works (中华医药典籍资源库); Dunhuang Manuscripts from Bibliothèque Nationale de France (法藏敦煌遗书); Yunnan Library Rare Books (云南图书馆古籍); Tianjin Library Rare Books (天津图书馆古籍); Shanghai Library Family Histories (上海图书馆家谱); Toyo Bunko Rare Chinese Books (东文研汉籍影像库); Harvard Yenching Library Rare Books (哈佛大学善本特藏); and the Union Catalog of Chinese Rare Books (中华古籍善本联合书目) — a catalog of 3,481 editions of rare books in Chinese and international collections.",9,5/17/2026 12:20am
57,"Chinese Rare Book Digital Collection, Library of Congress",,Classical Texts,https://www.loc.gov/collections/chinese-rare-books/,Library of Congress,open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Buddhism,Local history,Full-text,Middle Period (220–1368),Art and Architecture","The Chinese Rare Book Digital Collection at the Library of Congress makes available approximately 2,000 digitized titles drawn from the 5,300 Chinese rare books held by the Library’s Asian Division. Holdings span the 11th through 20th centuries and include Song, Yuan, and Ming dynasty block-print editions, manuscripts, Buddhist sutras, works with hand-painted illustrations, local gazetteers, and ancient maps. Among the most notable items are texts dating to the 11th or 12th century that are unique surviving copies not held by any other major library in China, Taiwan, Hong Kong, or Japan. Materials are freely searchable and accessible through the Library of Congress Digital Collections interface.",8,5/17/2026 12:20am
58,Harvard Yenching Chinese Rare Books,,Classical Texts,https://curiosity.lib.harvard.edu/chinese-rare-books,Harvard University,open access,ACLS Open Database Resource Guide,"Gender,Philosophy,Full-text,Middle Period (220–1368),Late Imperial (1368–1912),Literature","Harvard-Yenching Library’s Chinese Rare Books collection (13th–19th centuries) includes Chinese books from the 13th to 19th centuries covering classics & history, philosophy, collectanea, and unique manuscripts. The collection comprises: 1,500 Song, Yuan, and Ming block-print books (with 188 titles not found in any major libraries in China, Taiwan, Hong Kong, or Japan — representing unique surviving editions), approximately 1,500 manuscripts including holographs (original manuscripts in authors’ own handwriting), Song, Yuan, and Ming encyclopedias (leishu 類書) including Sancai tuhui 三才圖會, Shantang sikao 山堂肆考, and Tang leihan 唐類凵, nearly 2,600 gazetteers (including 720 rare editions from Ming through Qianlong period), banned books (禁書 / jinshu) censored during imperial periods, and women’s writing — a rare category systematically excluded from traditional canons. Materials are accessible through digital catalog.",9,5/17/2026 12:20am
59,Chinese Text Project,,Classical Texts,https://ctext.org/,Chinese Text Project,open access,ACLS Open Database Resource Guide,"Early China (before 220 CE),Late Imperial (1368–1912),Literature,Philosophy,Full-text,Middle Period (220–1368)","Chinese Text Project (CTP / ctext.org) is a comprehensive open-access digital library of pre-modern Chinese texts, with particular focus on pre-Qin (before 221 BCE) and Han dynasty (206 BCE-220 CE) materials. Founded by Donald Sturgeon, the platform now contains tens of thousands of texts spanning from ancient classics to late imperial works, organized by traditional categories including Classics (經 jing), History (史 shi), Masters/Philosophy (子 zi), and Collected Works (集 ji). The site provides accurate transcriptions with parallel translations where available, powerful full-text search across the entire corpus, concordance tools, statistical analysis, and cross-referencing between editions. Advanced features include automated textual analysis, markup tools for collaborative annotation, API access for computational research, and integration with other digital repositories.",9,5/13/2026 10:18pm
60,Buddhist Digital Archives,,Classical Texts,https://www.bdrc.io/,Buddhist Digital Resource Center,open access,ACLS Open Database Resource Guide,"Tibet,Buddhism,Literature,Philosophy,Full-text,Inner Asia,Historical archive","Buddhist Digital Archives (BUDA) is a collaborative platform developed by the Buddhist Digital Resource Center (BDRC) providing open-source, open-access to Buddhist texts across multiple Asian languages. The platform contains vast collections of Tibetan Buddhist works alongside materials in Sanskrit, Chinese, Pāli, Burmese, and Khmer. BUDA represents one of the world's largest repositories of Tibetan Buddhist literature, with hundreds of thousands of scanned pages from canonical works, commentaries, ritual texts, historical documents, and philosophical treatises. The innovative platform features advanced search capabilities, image viewers for manuscript materials, text transcriptions where available, and metadata describing texts, persons, places, and topics. Resources come from BDRC's own digitization efforts and partner collections worldwide, including major monasteries, libraries, and private collections in the Himalayan region and beyond.",8,5/17/2026 12:20am
61,Digital Repository of Chinese Manuscript Literature,中國寫本文獻數字資源庫,Classical Texts,https://tecang.cadal.edu.cn/collection/home/ilK_dP_LJ34=,Zhejiang University,open access,ACLS Open Database Resource Guide,"Dunhuang,Law,Literature,Economy,Full-text,Buddhism,Middle Period (220–1368)","Zhongguo xieben wenxian shuzi ziyuan ku (中國寫本文獻數字資源庫/ Digital Repository of Chinese Manuscript Literature) is operated by the China Academic Digital Associative Library (CADAL) at Zhejiang University. The database provides free access to digitized Chinese manuscript materials, with primary focus on Dunhuang manuscripts from Cave 17 (Library Cave) and other Silk Road sites. Images currently derive mostly from collections in China and the UK (British Library, which holds approximately 14,000 Dunhuang items), with plans to expand coverage to include holdings from France, Russia, Japan, and other international collections. Beyond Dunhuang materials, the database includes collections of local manuscript documents, particularly land contracts, property deeds, and legal documents from various Chinese regions spanning multiple dynasties. These non-canonical manuscripts provide crucial evidence for social history, economic relations, and daily life in pre-modern China. The platform offers high-resolution images with OCR capabilities where applicable, searchable metadata, and cross-references to related materials. The image viewer works best with Edge and Chrome browsers.",7,5/17/2026 12:49am
62,"The China Historical Geographic Information System, CHGIS",,Maps and GIS,https://chgis.fas.harvard.edu/,Harvard University,open access,ACLS Open Database Resource Guide,"Early China (before 220 CE),Digital humanities,Local history,Late Imperial (1368–1912),Middle Period (220–1368)","The China Historical Geographic Information System (CHGIS) is a comprehensive GIS database covering Chinese history from 221 BCE to 1911 CE (Qin through Qing dynasties), providing authoritative spatial and temporal data on populated places and historical administrative units across two millennia. CHGIS includes time-series data for changing administrative boundaries, place names, and population centers, with GIS-ready data available in multiple formats (shapefiles, KML, databases) with comprehensive metadata and documentation. The database underpins numerous other major digital humanities projects including the China Biographical Database (CBDB), World Historical Gazetteer, and Pelagios Commons, and offers a download interface and Placenames search API.",8,5/13/2026 10:18pm
63,"Land Survey Maps of China, 1895-1944",,Maps and GIS,https://chmap.mpiwg-berlin.mpg.de/lgtu-new/,"Max Planck Institute for the History of Science (Max Planck Society), Shanghai Jiao Tong University, Academia Sinica",open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Military,Local history","Land Survey Maps of China (CHMap) provides access to 4,088 historical land survey maps from 1895-1944 (at 1:50,000 scale), produced by Chinese central and provincial governments and the Japanese Army's land survey department. Through a trilateral collaboration between Max Planck Institute for the History of Science, Shanghai Jiao Tong University, and Academia Sinica, the project provides access to large-scale maps with geographic coverage, with detail of terrain, settlements, infrastructure, and land use during the late Qing and Republican periods. CHMap's interface allows users to search by location, browse by region, compare historical maps with modern satellite imagery, and download high-resolution images.",7,5/17/2026 12:49am
64,Modern China Geospatial Database,,Maps and GIS,https://analytics.huma-num.fr/enpchina/MCGD_interface/,ENP-China (Aix-Marseille University),open access,ACLS Open Database Resource Guide,"Digital humanities,Local history,Late Imperial (1368–1912),Republican era (1912–1949),Dataset","Modern China Geospatial Database (MCGD) addresses the critical challenge of place name standardization in modern Chinese history by identifying and collecting all name variants under which locations were designated in historical sources. The database is particularly valuable for handling the bewildering variety of Western transliteration systems used to render Chinese place names (e.g., Shanghai variants: Shang-hae, Changhaï, Schanghai, Szang-hai, etc.), as well as historical Chinese names that changed over time. The MCGD search interface allows researchers to input place names individually or batch upload CSV files of multiple names. The search engine retrieves matches regardless of language or transliteration system, providing geo-coordinates, current Chinese names and pinyin, and all known historical designations.",7,5/17/2026 12:49am
65,The People's Map of Global China,,Maps and GIS,https://thepeoplesmap.net,Made in China Journal,open access,ACLS Open Database Resource Guide,"Global China,Economy,International relations,Contemporary (post-1978)","The People's Map of Global China is an open-access interactive platform tracking China's complex and rapidly evolving international activities worldwide. Drawing on expertise from researchers and civil society organizations globally, the map provides in-depth, grounded knowledge about China's global imprint reflecting real-time developments. The platform features profiles of countries and individual projects (Belt and Road Initiative, resource extraction, infrastructure, telecommunications, ports, etc.), sortable by multiple parameters. Critically, the platform centers voices and perspectives from communities affected by Chinese projects. Users can filter by impact categories (human rights, environment, labor, debt, etc.), company involvement, financing sources, and geographic region. The map documents both positive developments (infrastructure improvements, economic opportunities) and negative impacts (debt burdens, environmental degradation, labor issues, displacement). This crowdsourced, continuously updated resource serves journalists, researchers, policymakers, activists, and affected communities seeking verified information about China's global economic footprint beyond official narratives.",8,5/17/2026 12:49am
66,Mapping Global China,,Maps and GIS,https://mapglobalchina.com/,"University of Hong Kong, New York University Shanghai",open access,ACLS Open Database Resource Guide,"Global China,Economy,Dataset,International relations,Contemporary (post-1978)","The Mapping Global China Initiative is an open-access geospatial platform offering data-driven analysis of China's international economic engagement, with particular focus on the Belt and Road Initiative (BRI). The platform provides interactive maps, datasets, and research on Chinese infrastructure investments, energy projects, port acquisitions, soft power activities (Confucius Institutes, leader visits), and other dimensions of China's global presence, drawing on sources including the Reconnecting Asia Project, AidData GeoQuery, the Boston University Global China Dataset, and projects at NYU Shanghai and the University of Hong Kong. Each mapped project links to satellite imagery enabling before-and-after comparison of development sites. The platform also hosts research briefs, story maps, and community features for collaborative engagement with Global China research.",7,5/17/2026 12:49am
67,Greater China Archival Resources,,Subject Guides and Bibliographies,https://archive-it.org/collections/14767,Ivy Plus Libraries Confederation,open access,ACLS Open Database Resource Guide,"Taiwan,Contemporary (post-1978),Historical archive,Law and Government,Republican era (1912–1949)","The Greater China Archival Resources Web Archive, curated by the Ivy Plus Libraries Confederation, collects websites belonging to established physical archives, archival societies, and archival projects from or about the Greater China region. Because local archives operate under the guidance of provincial and municipal archival bureaus, the archived websites cover not only collection holdings but also policies, news, reports, and research related to archival management across China's provinces, cities, and special administrative regions. The archive preserves born-digital content from Chinese archives and documents changes to these sites over time, creating a stable reference resource that captures shifting access conditions and institutional developments.",7,5/17/2026 12:49am
68,NewspaperSG,,Newspapers,https://eresources.nlb.gov.sg/newspapers/browse/catalogue,National Library Board Singapore,open access,ACLS Open Database Resource Guide,"Singapore,Full-text,Newspapers and periodicals","NewspaperSG is a digital newspaper archive maintained by the National Library Board of Singapore (NLB). The Newspaper Catalogue lists all newspaper titles held by NLB, including those available for free online access and those available only on microfilm. Titles span Singapore and the surrounding region (Peninsular Malaysia, Sabah and Sarawak, Brunei, and China) and are published in Chinese, English, Malay, Tamil, and Japanese. The online collection includes nearly 100 titles with full-text search, covering dates from the mid-nineteenth century through the present. Recent issues (typically the most recent year) are available as preview only; older digitized content is freely accessible without registration. The archive is particularly strong for Singapore English-language newspapers such as The Straits Times (from 1845) and Chinese-language titles.",8,5/13/2026 10:18pm
69,Wilson Center Digital Archive,,Archival Material,https://digitalarchive.wilsoncenter.org/places/china,Wilson Center,open access,ACLS Open Database Resource Guide,"Early PRC (1949–1966),Cultural Revolution (1966–1976),Contemporary (post-1978),Military,Economy,International relations,Historical archive","Wilson Center Digital Archive provides open access to documents, timelines, essays, and other resources related to modern international history of China, focusing primarily on the People's Republic of China (PRC) from its founding in October 1949 through 1989 (Tiananmen Square crackdown) and beyond. The Archive compiles materials from archives worldwide including formerly classified documents from US, Soviet, Eastern European, and Asian archives made available after the Cold War. Collections cover PRC domestic political and economic history, China's evolving global role, Sino-Soviet relations, Sino-American relations, the Korean War, Taiwan Strait crises, the Cultural Revolution, Reform Era, and China's relationships with Third World countries. The Digital Archive features expert annotations contextualizing documents, bilingual materials (Chinese/English), thematic collections organized around key events and issues, primary source document translations, and scholarly introductions.",9,5/17/2026 12:49am
70,Dispersed Chinese Art Digitization Project (DCADP),,Images,https://caea.lib.uchicago.edu/dcadp/en/,University of Chicago,open access,ACLS Open Database Resource Guide,"Art and Architecture,Archaeology,Late Imperial (1368–1912),Republican era (1912–1949)","The Dispersed Chinese Art Digitization Project (DCADP), launched in 2019 by the Center for the Art of East Asia (CAEA) at the University of Chicago, seeks to document, preserve, and digitally restore Chinese artworks taken from their historical sites of origin and dispersed to collections worldwide during the late nineteenth and early twentieth centuries. The project places digitized objects back into their original historical and spatial contexts through collaboration between CAEA and Xi'an Jiaotong University, with participation from numerous museums and cultural sites internationally. The digital collection is accessible through the CAEA library interface at the University of Chicago.",7,5/17/2026 12:49am
71,Chinese Theater Collaborative,,Subject Guides and Bibliographies,https://chinesetheatercollaborative.org/ctc/index,Ohio State University,open access,ACLS Open Database Resource Guide,"Literature,Pedagogy,Art and Architecture,Video","Chinese Theater Collaborative (CTC) is a teaching and learning resource for modern iterations of traditional Chinese theater, developed by Ohio State University in collaboration with the Advanced Institute for Global Chinese Studies at Lingnan University. The site is organized around iconic plays tracing their afterlives across theatrical, filmic, print, and other media forms, with modules examining works such as Orphan of Zhao, Story of the Western Wing, Mulan, and Peony Pavilion. For each play, the site provides introductory pages on historical context, plot, characters, and theatrical conventions; separate modules for different early modern and modern productions showing adaptation and reinterpretation over time; and texts (scripts, librettos), images (performance photographs, costume designs, stage sets), and video clips documenting specific productions. As of 2025, the platform continues to expand with new modules added through annual Summer Translation Collaborative workshops.",7,5/16/2026 10:27am
72,Dharmamitra,,Classical Texts,https://dharmamitra.org,"University of California, Berkeley",open access,ACLS Open Database Resource Guide,"Tibet,Buddhism,Literature,Full-text,Digital humanities","Dharmamitra is an integrated ecosystem developed at UC Berkeley for studying Buddhist texts across Pāli, Sanskrit, Tibetan, and Buddhist Chinese languages. The platform provides powerful, accessible tools addressing real-world needs of translators, researchers, and scholars: MITRATranslate offers machine translation from classical Buddhist languages (Pāli, Sanskrit, Tibetan, Buddhist Chinese) into modern languages, trained on Buddhist corpus-specific terminology and concepts; MITRASearch provides multilingual semantic search finding conceptually related passages across the entire Buddhist canon regardless of source language, enabling identification of parallel texts, doctrinal development, and intertextual relationships; MITRA-OCR utilizes Gemini-based AI for document-level OCR of Buddhist texts up to 100MB, handling classical scripts and layouts; DharmaNexus explores intertextuality within Buddhist literature based on the open-source BuddhaNexus initiative, mapping textual reuse and transmission patterns.",8,5/16/2026 10:27am
73,Dunhuang Academy's Digital Library Cave,数字藏经洞,Images,https://cave17.e-dunhuang.com/,Dunhuang Academy,open access,ACLS Open Database Resource Guide,"Tibet,Dunhuang,Buddhism,Religion,Historical archive,Art and Architecture,Middle Period (220–1368)","Dunhuang Academy's Digital Library Cave (数字藏经洞 / Digital Cave 17) provides free access to over 60,000 high-resolution images of Dunhuang manuscripts and artworks from the famous Library Cave (Cave 17) discovered in 1900. Developed through a partnership between the Dunhuang Academy and Tencent, the platform aggregates materials dispersed across global institutions including the British Library, Bibliothèque nationale de France, Institute of Oriental Manuscripts (Russia), National Library of China, and other collections holding Dunhuang treasures. Cave 17 originally contained approximately 50,000 manuscripts and printed documents spanning the 4th–11th centuries CE, representing Buddhism, Daoism, Confucianism, Manichaeism, and secular texts in Chinese, Tibetan, Sanskrit, Sogdian, Khotanese, and other languages. Advanced features include crowdsourcing for transcription and annotation, AI-powered search, and OCR tools for text recognition; the resource is also accessible via a WeChat mini-program.",8,5/16/2026 10:27am
74,Journeys of the Soul,心灵之旅,Archival Material,https://repository.duke.edu/dc/journeysofthesoul,Duke University,open access,ACLS Open Database Resource Guide,"Global China,Early PRC (1949–1966),Cultural Revolution (1966–1976),International relations,Oral history,Diaspora","Eight hundred twenty-six episodes of Radio Free Asia's program Journeys of the Soul 心灵之旅, 1998-2018. Episodes featured in-depth interviews with some of the most prominent Chinese diaspora writers, poets, scholars, public intellectuals, dissidents, and human rights activists in contemporary time. The program host is the award-winning journalist Zhang Min 张敏. The interviewees include leading exiled figures who had been at the center of political or diplomatic crises--including as the late Nobel Peace laureate Liu Xiaobo 刘晓波, astrophysicist Fang Lizhi 方励之, Tiananmen student leader Wang Dan 王丹, and the ""blind lawyer"" Chen Guangcheng 陈光诚. Those interviews with witnesses and participants cover many historical events in China from the Anti-Rightist Campaign of 1957, Mao's Great Famine (1959-61), the Cultural Revolution, to the June 4th Movement and the Weiquan movement (Civil rights movements).",8,5/16/2026 10:27am
75,Folk History Archive,民間歷史檔案庫,Archival Material,https://libguides.lib.cuhk.edu.hk/folk-history-archive,Chinese University of Hong Kong,open access,ACLS Open Database Resource Guide,"Historical archive,Republican era (1912–1949),Cultural Revolution (1966–1976),Local history,Oral history,Early PRC (1949–1966)","The Folk History Archive (民間歷史檔案庫) is hosted by the Universities Service Centre for China Studies (USC) Collection at the Chinese University of Hong Kong Library. The archive grew out of the Folk History Project, which collected personal testimonies, memoirs, and biographies documenting 20th-century Chinese social history from the perspective of ordinary people. The online collection includes approximately 500 original contributions — 70 novellas and over 400 articles — and provides downloadable metadata for over 9,000 records drawn from magazines, newspapers, and books. The site also lists related resources including book series, websites, and social media platforms. Note: the Folk History Project ceased active updates in 2022; the archive remains accessible through the CUHK Library LibGuides platform, and offline USC Collection holdings continue to be available for borrowing.",6,5/16/2026 10:27am
